	Language	Subdomain	Concept	KinRelations	RelFreq	Pi	SumPj	ci	Ci
0	Aari	parents	father	1	0.2469945074459945	0.2469945074459945	0.2469945074459945	-0.0	-0.0
1	Aari	parents	mother	1	0.2455896307851749	0.2455896307851749	0.2455896307851749	-0.0	-0.0
2	Aari	children	son	1	0.14270019862901032	0.14270019862901032	0.14270019862901032	-0.0	-0.0
3	Aari	children	daughter	1	0.1085790838366569	0.1085790838366569	0.1085790838366569	-0.0	-0.0
4	Aari	grandparents	grandparent	4	7.854268251417596e-05	1.963567062854399e-05	7.854268251417596e-05	2.0	3.927134125708798e-05
5	Aari	siblings	elder brother	1	0.04078808379466868	0.04078808379466868	0.04078808379466868	-0.0	-0.0
6	Aari	siblings	younger brother	1	0.11103422810770919	0.11103422810770919	0.11103422810770919	-0.0	-0.0
7	Aari	siblings	elder sister	1	0.056650116381484275	0.056650116381484275	0.056650116381484275	-0.0	-0.0
8	Aari	siblings	younger sister	1	0.0475860977604468	0.0475860977604468	0.0475860977604468	-0.0	-0.0
9	Adyghe	parents	father	1	0.26756173194596433	0.26756173194596433	0.26756173194596433	-0.0	-0.0
10	Adyghe	parents	mother	1	0.26603987125186956	0.26603987125186956	0.26603987125186956	-0.0	-0.0
11	Adyghe	children	son	1	0.15458283946884707	0.15458283946884707	0.15458283946884707	-0.0	-0.0
12	Adyghe	children	daughter	1	0.11762046057155394	0.11762046057155394	0.11762046057155394	-0.0	-0.0
13	Adyghe	siblings	brother	2	0.11068807474455054	0.05534403737227527	0.11068807474455054	1.0	0.05534403737227527
14	Adyghe	siblings	sister	2	0.08350702201721458	0.04175351100860729	0.08350702201721458	1.0	0.04175351100860729
15	Afrikaans	parents	father	1	0.16619197647832284	0.16619197647832284	0.16619197647832284	-0.0	-0.0
16	Afrikaans	parents	mother	1	0.16524669542173528	0.16524669542173528	0.16524669542173528	-0.0	-0.0
17	Afrikaans	children	son	1	0.09601682360969066	0.09601682360969066	0.09601682360969066	-0.0	-0.0
18	Afrikaans	children	daughter	1	0.0730581936157632	0.0730581936157632	0.0730581936157632	-0.0	-0.0
19	Afrikaans	cousins	male cousin	4	0.18499090449503744	0.04624772612375936	0.18499090449503744	2.0	0.09249545224751872
20	Afrikaans	cousins	female cousin	4	0.11412374207654051	0.028530935519135128	0.11412374207654051	2.0	0.057061871038270255
21	Afrikaans	grandchildren	grandchild	4	0.00038854907002491834	9.713726750622959e-05	0.00038854907002491834	2.0	0.00019427453501245917
22	Afrikaans	grandchildren	grandson	2	0.0033932399109361773	0.0016966199554680887	0.0033932399109361773	1.0	0.0016966199554680887
23	Afrikaans	grandchildren	granddaughter	2	0.002410400218837218	0.001205200109418609	0.002410400218837218	1.0	0.001205200109418609
24	Afrikaans	grandparents	grandfather	2	0.019536805634725984	0.009768402817362992	0.019536805634725984	1.0	0.009768402817362992
25	Afrikaans	grandparents	grandmother	2	0.02214397321836624	0.01107198660918312	0.02214397321836624	1.0	0.01107198660918312
26	Afrikaans	nephews and nieces	nephew	4	0.0050075964833151574	0.0012518991208287894	0.0050075964833151574	2.0	0.0025037982416575787
